FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses
0.437,0.797,56.0,511.0,218.0,113.0,40.0,27.0,63.0,200.0,458.0,55.0,69.0,Fabio,Breathe Breathe,0,8.0,3.0
0.53,0.752,36.0,487.0,251.0,100.0,38.0,36.0,70.0,183.0,345.0,85.0,113.0,Kayla,NotThanos,0,6.0,5.0
0.476,0.808,61.0,594.0,217.0,105.0,44.0,35.0,82.0,218.0,458.0,97.0,120.0,Yi Sheng,Big Face Coffee Co,1,10.0,1.0
0.428,0.804,54.0,472.0,205.0,126.0,31.0,23.0,64.0,170.0,397.0,78.0,97.0,Alan,LeKimchi,1,5.0,6.0
0.446,0.793,78.0,606.0,244.0,120.0,41.0,34.0,78.0,220.0,493.0,88.0,111.0,Bryan,Balonso Ball,2,11.0,0.0
0.472,0.738,64.0,517.0,206.0,89.0,45.0,24.0,64.0,204.0,432.0,45.0,61.0,Kai,The Baptist,2,5.0,6.0
0.436,0.705,44.0,420.0,166.0,116.0,31.0,17.0,60.0,157.0,360.0,62.0,88.0,David,Yi Shengs Yaks,3,1.0,10.0
0.46,0.756,68.0,522.0,250.0,91.0,24.0,16.0,64.0,193.0,420.0,68.0,90.0,Gary,Morning Wood,3,3.0,8.0
0.375,0.818,47.0,401.0,158.0,111.0,36.0,9.0,63.0,150.0,400.0,54.0,66.0,Jack,He boomed me,4,0.0,11.0
0.5,0.722,42.0,427.0,196.0,105.0,33.0,18.0,51.0,173.0,346.0,39.0,54.0,Eli,Anti-Vax and Ready to Relax,4,3.0,8.0
0.481,0.772,70.0,669.0,212.0,146.0,43.0,28.0,88.0,247.0,514.0,105.0,136.0,michaellee0407,Curry Everyday ,5,9.0,2.0
0.449,0.775,52.0,586.0,186.0,120.0,31.0,27.0,68.0,217.0,483.0,100.0,129.0,Chi Yen,This draft is rigged,5,5.0,6.0
