FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.4815436241610738,0.8092105263157895,70.0,767.0,270.0,167.0,41.0,27.0,95.0,287.0,596.0,123.0,152.0,Fabio,Bring Me A Shot ,0,7.0,2.0,2.0
0.4891089108910891,0.7959183673469388,69.0,641.0,271.0,142.0,54.0,28.0,87.0,247.0,505.0,78.0,98.0,Kai,The Baptist,0,7.0,4.0,0.0
0.503030303030303,0.74,47.0,453.0,195.0,70.0,25.0,19.0,40.0,166.0,330.0,74.0,100.0,Kayla,NotThanos,1,0.0,11.0,0.0
0.496551724137931,0.7536231884057971,85.0,765.0,258.0,124.0,35.0,16.0,80.0,288.0,580.0,104.0,138.0,Gary,TO God,1,5.0,6.0,0.0
0.4466501240694789,0.8161764705882353,53.0,524.0,198.0,124.0,27.0,16.0,64.0,180.0,403.0,111.0,136.0,Yi Sheng,Davids Fantastic Team,2,2.0,8.0,1.0
0.5402298850574713,0.6727272727272727,22.0,472.0,262.0,102.0,36.0,31.0,64.0,188.0,348.0,74.0,110.0,Eli,Pro-Vax Anti-INJ,2,2.0,8.0,1.0
0.41922290388548056,0.8544303797468354,74.0,619.0,203.0,148.0,30.0,31.0,63.0,205.0,489.0,135.0,158.0,Bryan,Balonso Ball,3,5.0,6.0,0.0
0.4857142857142857,0.8333333333333334,91.0,760.0,228.0,164.0,41.0,22.0,77.0,272.0,560.0,125.0,150.0,michaellee0407,Curry Everyday ,3,10.0,0.0,1.0
0.4708994708994709,0.7849462365591398,64.0,493.0,135.0,109.0,26.0,8.0,49.0,178.0,378.0,73.0,93.0,David,Yi Shengs OKC Thunder,4,2.0,9.0,0.0
0.4686971235194585,0.8141025641025641,86.0,767.0,266.0,178.0,40.0,24.0,83.0,277.0,591.0,127.0,156.0,Jack,He boomed me,4,8.0,2.0,1.0
0.477891156462585,0.8146067415730337,85.0,792.0,264.0,159.0,32.0,32.0,82.0,281.0,588.0,145.0,178.0,Alan,China Klay,5,10.0,1.0,0.0
0.4432314410480349,0.8695652173913043,42.0,588.0,221.0,164.0,42.0,15.0,70.0,203.0,458.0,140.0,161.0,Chi Yen,Sit down Yisheng,5,5.0,6.0,0.0
