FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.47714808043875684,0.776,80.0,699.0,255.0,168.0,41.0,31.0,65.0,261.0,547.0,97.0,125.0,Fabio,iHart Radio ,428.l.2784.t.1,0,65.0,80.0,41.0,9.0,2.0,0.0
0.4851063829787234,0.7452830188679245,61.0,596.0,136.0,161.0,26.0,20.0,77.0,228.0,470.0,79.0,106.0,Bryan,Balonso Ball,428.l.2784.t.2,0,77.0,61.0,26.0,2.0,9.0,0.0
0.4652777777777778,0.8424657534246576,54.0,579.0,200.0,144.0,27.0,17.0,60.0,201.0,432.0,123.0,146.0,Kai,Bryguy23,428.l.2784.t.3,1,60.0,54.0,27.0,2.0,9.0,0.0
0.49025069637883006,0.7435897435897436,9.0,448.0,234.0,120.0,29.0,28.0,54.0,176.0,359.0,87.0,117.0,David,Dumpling Diddlers,428.l.2784.t.5,1,54.0,9.0,29.0,3.0,7.0,1.0
0.41755888650963596,0.7570093457943925,49.0,520.0,232.0,147.0,29.0,14.0,58.0,195.0,467.0,81.0,107.0,Alan,Batmo Beal,428.l.2784.t.4,2,58.0,49.0,29.0,0.0,10.0,1.0
0.4906976744186046,0.8523489932885906,69.0,618.0,154.0,119.0,15.0,13.0,53.0,211.0,430.0,127.0,149.0,Gary,Nazel Tov,428.l.2784.t.7,2,53.0,69.0,15.0,5.0,6.0,0.0
0.5134615384615384,0.8461538461538461,71.0,737.0,277.0,169.0,40.0,32.0,58.0,267.0,520.0,132.0,156.0,Eli,The Block Party ,428.l.2784.t.6,3,58.0,71.0,40.0,11.0,0.0,0.0
0.49290060851926976,0.7272727272727273,79.0,653.0,223.0,152.0,49.0,30.0,81.0,243.0,493.0,88.0,121.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,3,81.0,79.0,49.0,7.0,4.0,0.0
0.4634551495016611,0.7921348314606742,65.0,764.0,238.0,124.0,25.0,22.0,84.0,279.0,602.0,141.0,178.0,michaellee0407,Welcome to Wemby ,428.l.2784.t.8,4,84.0,65.0,25.0,4.0,7.0,0.0
0.4759916492693111,0.7980769230769231,58.0,597.0,218.0,127.0,28.0,24.0,64.0,228.0,479.0,83.0,104.0,Kayla,NotThanos,428.l.2784.t.9,4,64.0,58.0,28.0,4.0,7.0,0.0
0.4858757062146893,0.7976190476190477,73.0,723.0,251.0,191.0,45.0,35.0,86.0,258.0,531.0,134.0,168.0,Jack,Sengoon Squad,428.l.2784.t.10,5,86.0,73.0,45.0,9.0,2.0,0.0
0.46688741721854304,0.7611940298507462,92.0,758.0,224.0,206.0,36.0,42.0,72.0,282.0,604.0,102.0,134.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,5,72.0,92.0,36.0,9.0,2.0,0.0
