FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.4832347140039448,0.7922077922077922,53.0,665.0,269.0,125.0,44.0,26.0,77.0,245.0,507.0,122.0,154.0,Fabio,G-League Ignite,428.l.2784.t.1,0,77.0,53.0,44.0,3.0,7.0,1.0
0.4592760180995475,0.8252427184466019,62.0,553.0,206.0,121.0,32.0,24.0,62.0,203.0,442.0,85.0,103.0,Kayla,NotThanos,428.l.2784.t.9,0,62.0,62.0,32.0,1.0,8.0,2.0
0.4864864864864865,0.8051948051948052,62.0,690.0,175.0,183.0,37.0,19.0,69.0,252.0,518.0,124.0,154.0,Bryan,Balonso Ball,428.l.2784.t.2,1,69.0,62.0,37.0,4.0,5.0,2.0
0.4731977818853974,0.7401129943502824,59.0,702.0,286.0,149.0,29.0,31.0,96.0,256.0,541.0,131.0,177.0,Kai,Bryguy23,428.l.2784.t.3,1,96.0,59.0,29.0,4.0,7.0,0.0
0.4859437751004016,0.7857142857142857,58.0,663.0,276.0,182.0,51.0,23.0,70.0,242.0,498.0,121.0,154.0,Alan,China Klay,428.l.2784.t.4,2,70.0,58.0,51.0,9.0,2.0,0.0
0.43493761140819964,0.8194444444444444,79.0,685.0,229.0,177.0,44.0,29.0,91.0,244.0,561.0,118.0,144.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,2,91.0,79.0,44.0,8.0,3.0,0.0
0.49722222222222223,0.743801652892562,20.0,468.0,252.0,121.0,37.0,23.0,58.0,179.0,360.0,90.0,121.0,David,Dumpling Diddlers,428.l.2784.t.5,3,58.0,20.0,37.0,0.0,8.0,3.0
0.46366782006920415,0.8026315789473685,84.0,742.0,237.0,173.0,40.0,40.0,104.0,268.0,578.0,122.0,152.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,3,104.0,84.0,40.0,10.0,1.0,0.0
0.42039800995024873,0.7950819672131147,34.0,469.0,260.0,97.0,35.0,31.0,49.0,169.0,402.0,97.0,122.0,Eli,The Block Party ,428.l.2784.t.6,4,49.0,34.0,35.0,1.0,10.0,0.0
0.4324786324786325,0.8455882352941176,78.0,699.0,256.0,125.0,35.0,32.0,73.0,253.0,585.0,115.0,136.0,michaellee0407,Sprained shooters ,428.l.2784.t.8,4,73.0,78.0,35.0,9.0,2.0,0.0
0.48507462686567165,0.8125,69.0,719.0,250.0,125.0,35.0,23.0,91.0,260.0,536.0,130.0,160.0,Gary,Nazel Tov,428.l.2784.t.7,5,91.0,69.0,35.0,4.0,5.0,2.0
0.503584229390681,0.8432432432432433,66.0,784.0,224.0,171.0,24.0,27.0,105.0,281.0,558.0,156.0,185.0,Jack,Sengoon Squad,428.l.2784.t.10,5,105.0,66.0,24.0,8.0,3.0,0.0
