wins,losses,ties
115.0,47.0,3.0
97.0,63.0,5.0
87.0,74.0,4.0
84.0,78.0,3.0
84.0,81.0,0.0
83.0,76.0,6.0
82.0,81.0,2.0
78.0,84.0,3.0
75.0,89.0,1.0
73.0,87.0,5.0
67.0,95.0,3.0
47.0,117.0,1.0
