FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.432,0.756,68.0,601.0,232.0,146.0,35.0,25.0,80.0,220.0,509.0,93.0,123.0,Fabio,Bring Me A Shot ,0,2.0,9.0,0.0
0.409,0.802,64.0,525.0,225.0,153.0,39.0,17.0,88.0,190.0,465.0,81.0,101.0,michaellee0407,The Ye Team ,0,0.0,11.0,0.0
0.528,0.718,61.0,611.0,250.0,115.0,37.0,32.0,48.0,228.0,432.0,94.0,131.0,Kayla,NotThanos,1,7.0,4.0,0.0
0.444,0.825,64.0,657.0,201.0,158.0,40.0,15.0,81.0,240.0,540.0,113.0,137.0,Jack,He boomed me,1,6.0,4.0,1.0
0.425,0.813,65.0,608.0,258.0,153.0,52.0,26.0,91.0,217.0,511.0,109.0,134.0,Yi Sheng,Davids Fantastic Team,2,6.0,5.0,0.0
0.464,0.714,68.0,618.0,224.0,164.0,41.0,11.0,72.0,220.0,474.0,110.0,154.0,David,Yi Shengs Yaks,2,5.0,5.0,1.0
0.424,0.862,58.0,599.0,247.0,142.0,43.0,23.0,67.0,208.0,490.0,125.0,145.0,Bryan,Balonso Ball,3,6.0,4.0,1.0
0.461,0.824,56.0,674.0,191.0,170.0,35.0,20.0,72.0,246.0,534.0,126.0,153.0,Chi Yen,Sit down Yisheng,3,7.0,3.0,1.0
0.479,0.706,56.0,586.0,296.0,121.0,37.0,40.0,56.0,223.0,466.0,84.0,119.0,Eli,Anti-Vax Pro-INJ,4,4.0,7.0,0.0
0.445,0.792,80.0,614.0,247.0,144.0,43.0,31.0,79.0,208.0,467.0,118.0,149.0,Alan,LeKimchi,4,9.0,2.0,0.0
0.472,0.822,92.0,725.0,305.0,142.0,25.0,15.0,90.0,268.0,568.0,97.0,118.0,Gary,Morning Wood,5,8.0,1.0,2.0
0.481,0.796,50.0,584.0,274.0,124.0,33.0,28.0,68.0,226.0,470.0,82.0,103.0,Kai,The Baptist,5,3.0,8.0,0.0
