FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.439469320066335,0.8170731707317073,77.0,741.0,311.0,201.0,61.0,26.0,85.0,265.0,603.0,134.0,164.0,Fabio,Bring Me A Shot ,0,9.0,2.0,0.0
0.4803738317757009,0.7924528301886793,91.0,731.0,253.0,125.0,45.0,31.0,71.0,257.0,535.0,126.0,159.0,Kayla,NotThanos,0,9.0,2.0,0.0
0.4826923076923077,0.7314814814814815,79.0,660.0,266.0,172.0,45.0,28.0,77.0,251.0,520.0,79.0,108.0,Yi Sheng,Davids Fantastic Team,1,5.0,5.0,1.0
0.4420849420849421,0.7943262411347518,75.0,645.0,202.0,147.0,34.0,19.0,85.0,229.0,518.0,112.0,141.0,Alan,China Klay,1,1.0,10.0,0.0
0.4523809523809524,0.821917808219178,86.0,738.0,287.0,150.0,44.0,41.0,83.0,266.0,588.0,120.0,146.0,Bryan,Balonso Ball,2,10.0,0.0,1.0
0.43655913978494626,0.7971014492753623,65.0,526.0,244.0,123.0,29.0,21.0,63.0,203.0,465.0,55.0,69.0,Kai,The Baptist,2,0.0,10.0,1.0
0.4678714859437751,0.8018018018018018,77.0,632.0,181.0,175.0,39.0,7.0,72.0,233.0,498.0,89.0,111.0,David,Yi Shengs Infirmary,3,2.0,9.0,0.0
0.4731977818853974,0.7762237762237763,77.0,700.0,273.0,165.0,45.0,25.0,74.0,256.0,541.0,111.0,143.0,Gary,TO God,3,6.0,4.0,1.0
0.44093178036605657,0.8300653594771242,88.0,745.0,216.0,154.0,36.0,19.0,83.0,265.0,601.0,127.0,153.0,Jack,He boomed me,4,6.0,4.0,1.0
0.5104602510460251,0.6826923076923077,46.0,605.0,306.0,111.0,46.0,30.0,62.0,244.0,478.0,71.0,104.0,Eli,Pro-Vax Anti-INJ,4,7.0,4.0,0.0
0.428099173553719,0.75,73.0,705.0,264.0,184.0,43.0,29.0,100.0,259.0,605.0,114.0,152.0,michaellee0407,Curry Everyday Part II,5,3.0,8.0,0.0
0.48608534322820035,0.7682119205298014,62.0,702.0,239.0,190.0,29.0,31.0,87.0,262.0,539.0,116.0,151.0,Chi Yen,Sit down Yisheng,5,5.0,5.0,1.0
