wins,losses,ties
87.0,43.0,2.0
77.0,51.0,4.0
72.0,59.0,1.0
71.0,57.0,4.0
65.0,64.0,3.0
64.0,67.0,1.0
63.0,65.0,4.0
63.0,69.0,0.0
62.0,68.0,2.0
61.0,68.0,3.0
57.0,72.0,3.0
36.0,95.0,1.0
