FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.47739602169981915,0.8143712574850299,67.0,731.0,233.0,149.0,42.0,24.0,82.0,264.0,553.0,136.0,167.0,Fabio,Cancun Mode Activated ,0,5.0,6.0,0.0
0.48312611012433393,0.7678571428571429,90.0,720.0,285.0,137.0,32.0,24.0,93.0,272.0,563.0,86.0,112.0,Kai,Zamn Zion,0,6.0,4.0,1.0
0.45901639344262296,0.7352941176470589,60.0,608.0,272.0,179.0,43.0,35.0,99.0,224.0,488.0,100.0,136.0,Bryan,BolMarket,1,5.0,6.0,0.0
0.5046948356807511,0.8252427184466019,84.0,599.0,166.0,105.0,27.0,27.0,55.0,215.0,426.0,85.0,103.0,Chi Yen,Sit down Yisheng,1,4.0,7.0,0.0
0.45841784989858014,0.8104575163398693,67.0,643.0,196.0,88.0,24.0,26.0,64.0,226.0,493.0,124.0,153.0,Alan,China Klay,2,0.0,10.0,1.0
0.4632867132867133,0.7329545454545454,73.0,732.0,296.0,142.0,37.0,36.0,90.0,265.0,572.0,129.0,176.0,Kayla,NotThanos,2,6.0,5.0,0.0
0.48,0.7322834645669292,53.0,554.0,283.0,151.0,28.0,25.0,64.0,204.0,425.0,93.0,127.0,Jack,Tatum Tots,3,2.0,8.0,1.0
0.46153846153846156,0.8645418326693227,83.0,960.0,253.0,218.0,50.0,31.0,102.0,330.0,715.0,217.0,251.0,David,Dumpling Diddlers,3,11.0,0.0,0.0
0.44833625218914186,0.8333333333333334,69.0,691.0,239.0,137.0,38.0,33.0,59.0,256.0,571.0,110.0,132.0,michaellee0407,Hiatus Mode Activated ,4,4.0,6.0,1.0
0.46629213483146065,0.7235772357723578,35.0,456.0,248.0,158.0,46.0,43.0,63.0,166.0,356.0,89.0,123.0,Eli,Regular Season Mode Activated,4,4.0,6.0,1.0
0.4677871148459384,0.7570093457943925,88.0,918.0,327.0,186.0,43.0,21.0,81.0,334.0,714.0,162.0,214.0,Gary,Kuzma Nutz,5,10.0,1.0,0.0
0.4659090909090909,0.8493975903614458,73.0,706.0,228.0,192.0,46.0,22.0,90.0,246.0,528.0,141.0,166.0,Yi Sheng,Yi Shengs Yaks,5,6.0,4.0,1.0
