wins,losses,ties
77.0,20.0,2.0
73.0,20.0,6.0
52.0,46.0,1.0
50.0,46.0,3.0
48.0,49.0,2.0
48.0,47.0,4.0
46.0,50.0,3.0
46.0,49.0,4.0
44.0,52.0,3.0
42.0,54.0,3.0
42.0,56.0,1.0
10.0,89.0,0.0
