FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.4669187145557656,0.825,85.0,711.0,273.0,151.0,40.0,32.0,81.0,247.0,529.0,132.0,160.0,Fabio,iHart Radio ,428.l.2784.t.1,0,81.0,85.0,40.0,6.0,5.0,0.0
0.5394190871369294,0.7123287671232876,20.0,332.0,149.0,82.0,20.0,12.0,35.0,130.0,241.0,52.0,73.0,David,Dumpling Diddlers,428.l.2784.t.5,0,35.0,20.0,20.0,0.0,11.0,0.0
0.49822695035460995,0.8466257668711656,73.0,773.0,190.0,209.0,50.0,26.0,79.0,281.0,564.0,138.0,163.0,Bryan,Balonso Ball,428.l.2784.t.2,1,79.0,73.0,50.0,9.0,2.0,0.0
0.48639455782312924,0.8309859154929577,100.0,790.0,245.0,169.0,35.0,29.0,59.0,286.0,588.0,118.0,142.0,Kayla,NotThanos,428.l.2784.t.9,1,59.0,100.0,35.0,9.0,1.0,1.0
0.5306859205776173,0.7340425531914894,39.0,402.0,172.0,61.0,17.0,14.0,31.0,147.0,277.0,69.0,94.0,Kai,Bryguy23,428.l.2784.t.3,2,31.0,39.0,17.0,1.0,10.0,0.0
0.45665961945031713,0.8345323741007195,43.0,591.0,219.0,145.0,50.0,27.0,67.0,216.0,473.0,116.0,139.0,Jack,Sengoon Squad,428.l.2784.t.10,2,67.0,43.0,50.0,5.0,6.0,0.0
0.49427168576104746,0.8277777777777777,102.0,855.0,251.0,217.0,49.0,18.0,85.0,302.0,611.0,149.0,180.0,Alan,Batmo Beal,428.l.2784.t.4,3,85.0,102.0,49.0,10.0,1.0,0.0
0.5070921985815603,0.8283582089552238,84.0,767.0,246.0,211.0,36.0,29.0,78.0,286.0,564.0,111.0,134.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,3,78.0,84.0,36.0,9.0,1.0,1.0
0.5174825174825175,0.7777777777777778,57.0,571.0,239.0,119.0,32.0,46.0,74.0,222.0,429.0,70.0,90.0,Eli,The Block Party ,428.l.2784.t.6,4,74.0,57.0,32.0,4.0,7.0,0.0
0.4762886597938144,0.7755102040816326,68.0,644.0,170.0,146.0,27.0,18.0,80.0,231.0,485.0,114.0,147.0,Gary,Nazel Tov,428.l.2784.t.7,4,80.0,68.0,27.0,3.0,8.0,0.0
0.46915584415584416,0.8023255813953488,93.0,809.0,227.0,163.0,46.0,19.0,76.0,289.0,616.0,138.0,172.0,michaellee0407,Welcome to Wemby ,428.l.2784.t.8,5,76.0,93.0,46.0,7.0,4.0,0.0
0.46445497630331756,0.75,67.0,555.0,179.0,139.0,25.0,30.0,59.0,196.0,422.0,96.0,128.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,5,59.0,67.0,25.0,2.0,9.0,0.0
