wins,losses,ties
26.0,4.0,3.0
23.0,9.0,1.0
22.0,11.0,0.0
21.0,10.0,2.0
20.0,12.0,1.0
14.0,18.0,1.0
13.0,20.0,0.0
12.0,18.0,3.0
12.0,19.0,2.0
11.0,21.0,1.0
9.0,22.0,2.0
7.0,26.0,0.0
