FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.5107604017216643,0.7941176470588235,95.0,942.0,288.0,186.0,62.0,29.0,105.0,356.0,697.0,135.0,170.0,Fabio,Band of the Hawk ,0,105.0,95.0,62.0,9.0,1.0,1.0
0.46628407460545196,0.8043478260869565,73.0,945.0,300.0,210.0,43.0,30.0,100.0,325.0,697.0,222.0,276.0,David,Dumpling Diddlers,0,100.0,73.0,43.0,8.0,2.0,1.0
0.49809885931558934,0.816793893129771,71.0,702.0,298.0,151.0,36.0,36.0,85.0,262.0,526.0,107.0,131.0,Bryan,Anthony Not Probable Davis,1,85.0,71.0,36.0,4.0,7.0,0.0
0.452991452991453,0.7384615384615385,94.0,720.0,275.0,165.0,45.0,18.0,86.0,265.0,585.0,96.0,130.0,Kai,Bryguy23,1,86.0,94.0,45.0,1.0,10.0,0.0
0.4889589905362776,0.8385650224215246,80.0,887.0,272.0,144.0,36.0,23.0,85.0,310.0,634.0,187.0,223.0,Alan,China Klay,2,85.0,80.0,36.0,2.0,9.0,0.0
0.4383561643835616,0.8488372093023255,88.0,947.0,300.0,205.0,42.0,23.0,114.0,320.0,730.0,219.0,258.0,Gary,Kuzma Nutz,2,114.0,88.0,42.0,5.0,6.0,0.0
0.4858757062146893,0.7818181818181819,85.0,687.0,270.0,197.0,65.0,29.0,82.0,258.0,531.0,86.0,110.0,Jack,Sengoon Squad,3,82.0,85.0,65.0,3.0,6.0,2.0
0.46443514644351463,0.8304347826086956,102.0,959.0,266.0,232.0,38.0,29.0,114.0,333.0,717.0,191.0,230.0,Yi Sheng,Sochandeeznutz,3,114.0,102.0,38.0,6.0,3.0,2.0
0.48534201954397393,0.803680981595092,92.0,819.0,271.0,175.0,48.0,30.0,80.0,298.0,614.0,131.0,163.0,michaellee0407,Fun Melo ,4,80.0,92.0,48.0,7.0,3.0,1.0
0.46258503401360546,0.8064516129032258,48.0,370.0,139.0,72.0,26.0,18.0,47.0,136.0,294.0,50.0,62.0,Chi Yen,Sit down Yisheng,4,47.0,48.0,26.0,0.0,11.0,0.0
0.5053598774885145,0.8484848484848485,100.0,900.0,329.0,151.0,26.0,24.0,92.0,330.0,653.0,140.0,165.0,Kayla,NotThanos,5,92.0,100.0,26.0,8.0,3.0,0.0
0.5732217573221757,0.7818181818181819,45.0,679.0,373.0,139.0,52.0,56.0,70.0,274.0,478.0,86.0,110.0,Eli,Hart of a Champion ,5,70.0,45.0,52.0,9.0,1.0,1.0
