wins,losses,ties
94.0,47.0,2.0
85.0,54.0,4.0
77.0,62.0,4.0
73.0,65.0,5.0
73.0,69.0,1.0
73.0,69.0,1.0
72.0,67.0,4.0
69.0,72.0,2.0
68.0,75.0,0.0
64.0,76.0,3.0
58.0,82.0,3.0
37.0,105.0,1.0
