wins,losses,ties
104.0,47.0,3.0
93.0,56.0,5.0
81.0,69.0,4.0
77.0,75.0,2.0
77.0,77.0,0.0
76.0,76.0,2.0
74.0,79.0,1.0
74.0,75.0,5.0
73.0,76.0,5.0
71.0,80.0,3.0
63.0,88.0,3.0
44.0,109.0,1.0
