FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.4394904458598726,0.6666666666666666,42.0,528.0,238.0,108.0,32.0,29.0,64.0,207.0,471.0,72.0,108.0,Fabio,Bring Me A Shot ,0,0.0,11.0,0.0
0.44617784711388453,0.7692307692307693,81.0,803.0,251.0,181.0,42.0,36.0,90.0,286.0,641.0,150.0,195.0,Bryan,Balonso Ball,0,8.0,2.0,1.0
0.441025641025641,0.6742424242424242,50.0,483.0,223.0,133.0,39.0,27.0,62.0,172.0,390.0,89.0,132.0,Kayla,NotThanos,1,1.0,10.0,0.0
0.4676258992805755,0.8163265306122449,71.0,711.0,279.0,168.0,42.0,43.0,91.0,260.0,556.0,120.0,147.0,Yi Sheng,Davids Fantastic Team,1,10.0,0.0,1.0
0.45598591549295775,0.7956204379562044,61.0,688.0,237.0,199.0,75.0,27.0,77.0,259.0,568.0,109.0,137.0,David,Yi Shengs Infirmary,2,7.0,4.0,0.0
0.47794117647058826,0.7986577181208053,67.0,706.0,282.0,138.0,36.0,31.0,75.0,260.0,544.0,119.0,149.0,Alan,China Klay,2,8.0,3.0,0.0
0.453125,0.8023255813953488,63.0,723.0,281.0,177.0,38.0,21.0,98.0,261.0,576.0,138.0,172.0,Jack,He boomed me,3,5.0,6.0,0.0
0.46693386773547096,0.8526315789473684,71.0,618.0,276.0,128.0,27.0,30.0,72.0,233.0,499.0,81.0,95.0,Kai,The Baptist,3,7.0,4.0,0.0
0.4628224582701062,0.825136612021858,89.0,850.0,259.0,203.0,41.0,19.0,98.0,305.0,659.0,151.0,183.0,michaellee0407,Curry Everyday Part II,4,9.0,2.0,0.0
0.43333333333333335,0.8387096774193549,80.0,678.0,236.0,139.0,40.0,19.0,87.0,234.0,540.0,130.0,155.0,Gary,TO God,4,4.0,7.0,0.0
0.4900990099009901,0.6788990825688074,43.0,513.0,280.0,117.0,35.0,34.0,56.0,198.0,404.0,74.0,109.0,Eli,Pro-Vax Anti-INJ,5,3.0,7.0,1.0
0.46238938053097345,0.8306010928961749,70.0,640.0,158.0,159.0,35.0,14.0,66.0,209.0,452.0,152.0,183.0,Chi Yen,Sit down Yisheng,5,2.0,8.0,1.0
