FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.50625,0.7681159420289855,38.0,415.0,139.0,85.0,27.0,22.0,34.0,162.0,320.0,53.0,69.0,Fabio,Cool Ballers ,428.l.2784.t.1,0,34.0,38.0,27.0,8.0,3.0,0.0
0.498371335504886,0.8309859154929577,53.0,418.0,138.0,111.0,19.0,15.0,47.0,153.0,307.0,59.0,71.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,0,47.0,53.0,19.0,4.0,7.0,0.0
0.4588235294117647,0.7386363636363636,32.0,331.0,96.0,85.0,17.0,7.0,46.0,117.0,255.0,65.0,88.0,Bryan,Balonso Ball,428.l.2784.t.2,1,46.0,32.0,17.0,0.0,11.0,0.0
0.49538461538461537,0.8352941176470589,47.0,440.0,151.0,67.0,20.0,16.0,51.0,161.0,325.0,71.0,85.0,michaellee0407,I need a Herro ,428.l.2784.t.8,1,51.0,47.0,20.0,6.0,5.0,0.0
0.48417721518987344,0.8452380952380952,31.0,408.0,166.0,95.0,20.0,29.0,38.0,153.0,316.0,71.0,84.0,Kai,Bryguy23,428.l.2784.t.3,2,38.0,31.0,20.0,7.0,3.0,1.0
0.43597560975609756,0.7777777777777778,37.0,386.0,115.0,85.0,18.0,8.0,45.0,143.0,328.0,63.0,81.0,Gary,Nazel Tov,428.l.2784.t.7,2,45.0,37.0,18.0,1.0,10.0,0.0
0.43686868686868685,0.8631578947368421,58.0,486.0,140.0,121.0,21.0,11.0,64.0,173.0,396.0,82.0,95.0,Alan,Beats By Dray,428.l.2784.t.4,3,64.0,58.0,21.0,10.0,1.0,0.0
0.4790996784565916,0.75,48.0,397.0,156.0,91.0,17.0,12.0,41.0,149.0,311.0,51.0,68.0,Jack,Sengoon Squad,428.l.2784.t.10,3,41.0,48.0,17.0,4.0,7.0,0.0
0.5,0.6451612903225806,11.0,259.0,139.0,48.0,23.0,21.0,24.0,104.0,208.0,40.0,62.0,David,Dumpling Diddlers,428.l.2784.t.5,4,24.0,11.0,23.0,3.0,8.0,0.0
0.46905537459283386,0.8888888888888888,30.0,382.0,178.0,73.0,30.0,29.0,28.0,144.0,307.0,64.0,72.0,Eli,The Block Party ,428.l.2784.t.6,4,28.0,30.0,30.0,9.0,1.0,1.0
0.4527027027027027,0.8125,43.0,376.0,162.0,81.0,19.0,15.0,43.0,134.0,296.0,65.0,80.0,Kayla,NotThanos,428.l.2784.t.9,5,43.0,43.0,19.0,3.0,8.0,0.0
0.5114942528735632,0.82,43.0,481.0,124.0,115.0,23.0,30.0,42.0,178.0,348.0,82.0,100.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,5,42.0,43.0,23.0,10.0,1.0,0.0
