wins,losses,ties
45.0,6.0,4.0
43.0,11.0,1.0
30.0,23.0,2.0
29.0,24.0,2.0
27.0,27.0,1.0
27.0,26.0,2.0
26.0,26.0,3.0
25.0,27.0,3.0
23.0,31.0,1.0
21.0,30.0,4.0
14.0,40.0,1.0
8.0,47.0,0.0
