wins,losses,ties
99.0,20.0,2.0
86.0,29.0,6.0
68.0,51.0,2.0
60.0,56.0,5.0
59.0,58.0,4.0
58.0,60.0,3.0
57.0,63.0,1.0
56.0,63.0,2.0
53.0,64.0,4.0
51.0,67.0,3.0
49.0,68.0,4.0
12.0,109.0,0.0
