wins,losses,ties
66.0,20.0,2.0
65.0,17.0,6.0
50.0,35.0,3.0
47.0,40.0,1.0
45.0,41.0,2.0
43.0,42.0,3.0
39.0,46.0,3.0
39.0,45.0,4.0
37.0,48.0,3.0
37.0,47.0,4.0
35.0,52.0,1.0
9.0,79.0,0.0
