wins,losses,ties
135.0,69.0,5.0
116.0,86.0,7.0
115.0,86.0,8.0
114.0,92.0,3.0
111.0,93.0,5.0
105.0,100.0,4.0
105.0,103.0,1.0
104.0,101.0,4.0
89.0,119.0,1.0
88.0,114.0,7.0
80.0,126.0,3.0
67.0,140.0,2.0
