FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.45041322314049587,0.72,66.0,592.0,196.0,146.0,38.0,33.0,69.0,218.0,484.0,90.0,125.0,Fabio,Bring Me A Shot ,0,2.0,9.0,0.0
0.4581818181818182,0.7857142857142857,63.0,655.0,249.0,164.0,34.0,19.0,108.0,252.0,550.0,88.0,112.0,Gary,TO God,0,3.0,8.0,0.0
0.5441988950276243,0.7086614173228346,52.0,536.0,252.0,102.0,30.0,30.0,56.0,197.0,362.0,90.0,127.0,Kayla,NotThanos,1,2.0,9.0,0.0
0.47674418604651164,0.6694214876033058,58.0,549.0,274.0,119.0,44.0,38.0,60.0,205.0,430.0,81.0,121.0,Eli,Pro-Vax Anti-INJ,1,6.0,4.0,1.0
0.45300751879699247,0.7697841726618705,62.0,651.0,257.0,168.0,59.0,26.0,78.0,241.0,532.0,107.0,139.0,Yi Sheng,Davids Fantastic Team,2,7.0,3.0,1.0
0.5229166666666667,0.8333333333333334,94.0,691.0,161.0,118.0,24.0,11.0,67.0,251.0,480.0,95.0,114.0,michaellee0407,Curry Everyday ,2,5.0,6.0,0.0
0.5083798882681564,0.8082191780821918,84.0,807.0,236.0,145.0,33.0,28.0,85.0,273.0,537.0,177.0,219.0,Bryan,Balonso Ball,3,9.0,2.0,0.0
0.44763513513513514,0.7751479289940828,91.0,752.0,241.0,181.0,38.0,20.0,82.0,265.0,592.0,131.0,169.0,Jack,He boomed me,3,7.0,4.0,0.0
0.44221105527638194,0.6697247706422018,46.0,471.0,148.0,124.0,30.0,18.0,51.0,176.0,398.0,73.0,109.0,David,Yi Shengs OKC Thunder,4,0.0,11.0,0.0
0.498960498960499,0.8366013071895425,58.0,666.0,206.0,160.0,41.0,26.0,73.0,240.0,481.0,128.0,153.0,Chi Yen,Sit down Yisheng,4,7.0,2.0,2.0
0.5166666666666667,0.8243243243243243,71.0,628.0,223.0,133.0,37.0,21.0,68.0,248.0,480.0,61.0,74.0,Kai,The Baptist,5,5.0,6.0,0.0
0.4846846846846847,0.8112244897959183,74.0,771.0,276.0,144.0,43.0,32.0,67.0,269.0,555.0,159.0,196.0,Alan,China Klay,5,11.0,0.0,0.0
