FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.435361216730038,0.7515923566878981,58.0,634.0,262.0,149.0,46.0,27.0,81.0,229.0,526.0,118.0,157.0,Fabio,Bring Me A Shot ,0,4.0,7.0,0.0
0.42424242424242425,0.7984496124031008,32.0,471.0,173.0,136.0,20.0,21.0,56.0,168.0,396.0,103.0,129.0,Chi Yen,Sit down Yisheng,0,1.0,10.0,0.0
0.46875,0.7945205479452054,90.0,716.0,270.0,119.0,32.0,34.0,66.0,255.0,544.0,116.0,146.0,Kayla,NotThanos,1,9.0,2.0,0.0
0.48863636363636365,0.7633587786259542,76.0,606.0,223.0,96.0,28.0,30.0,45.0,215.0,440.0,100.0,131.0,Alan,China Klay,1,7.0,4.0,0.0
0.46588693957115007,0.7938931297709924,72.0,654.0,213.0,141.0,31.0,36.0,74.0,239.0,513.0,104.0,131.0,Yi Sheng,Davids Fantastic Team,2,8.0,3.0,0.0
0.48148148148148145,0.7951807228915663,57.0,435.0,208.0,86.0,18.0,22.0,54.0,156.0,324.0,66.0,83.0,Kai,The Baptist,2,3.0,8.0,0.0
0.4505703422053232,0.8109452736318408,81.0,718.0,259.0,142.0,40.0,37.0,78.0,237.0,526.0,163.0,201.0,Bryan,Balonso Ball,3,10.0,1.0,0.0
0.4558058925476603,0.7602739726027398,71.0,708.0,271.0,158.0,36.0,18.0,113.0,263.0,577.0,111.0,146.0,Gary,TO God,3,6.0,5.0,0.0
0.44469525959367945,0.7883211678832117,66.0,568.0,197.0,155.0,46.0,13.0,75.0,197.0,443.0,108.0,137.0,David,Yi Shengs Infirmary,4,4.0,7.0,0.0
0.5131195335276968,0.6781609195402298,43.0,454.0,233.0,69.0,33.0,26.0,43.0,176.0,343.0,59.0,87.0,Eli,Pro-Vax Anti-INJ,4,3.0,8.0,0.0
0.41471571906354515,0.79,33.0,360.0,117.0,98.0,24.0,9.0,46.0,124.0,299.0,79.0,100.0,Jack,He boomed me,5,0.0,11.0,0.0
0.5132575757575758,0.8046875,95.0,740.0,190.0,134.0,42.0,13.0,67.0,271.0,528.0,103.0,128.0,michaellee0407,Curry Everyday Part II,5,11.0,0.0,0.0
