wins,losses,ties
71.0,27.0,1.0
54.0,44.0,1.0
54.0,43.0,2.0
52.0,44.0,3.0
49.0,48.0,2.0
49.0,49.0,1.0
48.0,48.0,3.0
48.0,49.0,2.0
46.0,49.0,4.0
45.0,52.0,2.0
38.0,61.0,0.0
29.0,69.0,1.0
