FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.463,0.795,48.0,478.0,175.0,143.0,32.0,20.0,58.0,184.0,397.0,62.0,78.0,Fabio,Bring Me A Shot ,0,5.0,5.0,1.0
0.498,0.784,63.0,555.0,201.0,95.0,25.0,13.0,65.0,208.0,418.0,76.0,97.0,Kai,The Baptist,0,3.0,7.0,1.0
0.465,0.773,66.0,525.0,217.0,98.0,51.0,35.0,59.0,192.0,413.0,75.0,97.0,Kayla,NotThanos,1,9.0,2.0,0.0
0.491,0.756,69.0,677.0,228.0,118.0,37.0,24.0,84.0,259.0,528.0,90.0,119.0,Gary,TO God,1,8.0,3.0,0.0
0.482,0.833,78.0,694.0,244.0,163.0,32.0,38.0,75.0,253.0,525.0,110.0,132.0,Yi Sheng,Davids Fantastic Team,2,11.0,0.0,0.0
0.48,0.725,46.0,502.0,269.0,138.0,44.0,31.0,52.0,191.0,398.0,74.0,102.0,Eli,Pro-Vax Anti-INJ,2,8.0,3.0,0.0
0.449,0.859,48.0,584.0,218.0,109.0,30.0,31.0,62.0,201.0,448.0,134.0,156.0,Bryan,Balonso Ball,3,4.0,5.0,2.0
0.439,0.875,71.0,540.0,179.0,133.0,24.0,12.0,83.0,182.0,415.0,105.0,120.0,michaellee0407,COVID COVID Go Away,3,2.0,9.0,0.0
0.459,0.84,61.0,523.0,149.0,125.0,28.0,7.0,48.0,189.0,412.0,84.0,100.0,David,Yi Shengs Infirmary,4,1.0,10.0,0.0
0.487,0.761,68.0,690.0,210.0,173.0,50.0,17.0,73.0,257.0,528.0,108.0,142.0,Jack,He boomed me,4,9.0,2.0,0.0
0.426,0.784,49.0,470.0,221.0,116.0,23.0,24.0,56.0,167.0,392.0,87.0,111.0,Alan,LeKimchi,5,0.0,10.0,1.0
0.479,0.771,55.0,586.0,161.0,135.0,30.0,14.0,67.0,210.0,438.0,111.0,144.0,Chi Yen,Sit down Yisheng,5,3.0,7.0,1.0
