FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.4730941704035874,0.7540983606557377,41.0,555.0,259.0,137.0,51.0,22.0,77.0,211.0,446.0,92.0,122.0,Bryan,Anthony Not Probable Davis,0,77.0,41.0,51.0,1.0,6.0,0.0
0.4738562091503268,0.7978723404255319,31.0,396.0,123.0,113.0,20.0,14.0,53.0,145.0,306.0,75.0,94.0,Yi Sheng,Sochandeeznutz,0,53.0,31.0,20.0,0.0,7.0,0.0
0.4967845659163987,0.8120805369127517,92.0,831.0,299.0,222.0,61.0,34.0,82.0,309.0,622.0,121.0,149.0,Jack,Sengoon Squad,1,82.0,92.0,61.0,7.0,0.0,0.0
0.468013468013468,0.7696078431372549,67.0,780.0,282.0,203.0,46.0,27.0,80.0,278.0,594.0,157.0,204.0,Gary,Kuzma Nutz,1,80.0,67.0,46.0,5.0,2.0,0.0
0.5109780439121756,0.7368421052631579,75.0,685.0,256.0,93.0,39.0,29.0,52.0,256.0,501.0,98.0,133.0,michaellee0407,NBAs finest Ja Morant ,2,52.0,75.0,39.0,3.0,4.0,0.0
0.4787018255578093,0.8271604938271605,72.0,678.0,211.0,157.0,26.0,27.0,90.0,236.0,493.0,134.0,162.0,Kai,Bryguy23,2,90.0,72.0,26.0,2.0,5.0,0.0
0.5268199233716475,0.7391304347826086,34.0,686.0,308.0,182.0,50.0,38.0,79.0,275.0,522.0,102.0,138.0,Eli,Hart of a Champion ,3,79.0,34.0,50.0,6.0,1.0,0.0
0.45875542691751087,0.8168316831683168,88.0,887.0,270.0,198.0,48.0,24.0,105.0,317.0,691.0,165.0,202.0,David,Dumpling Diddlers,3,105.0,88.0,48.0,4.0,3.0,0.0
