FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.49514563106796117,0.8076923076923077,65.0,701.0,258.0,122.0,32.0,44.0,91.0,255.0,515.0,126.0,156.0,Fabio,Cool Ballers ,428.l.2784.t.1,0,91.0,65.0,32.0,1.0,10.0,0.0
0.4505169867060561,0.8531073446327684,87.0,848.0,298.0,162.0,50.0,34.0,101.0,305.0,677.0,151.0,177.0,michaellee0407,Scoop-diddy-hoop ,428.l.2784.t.8,0,101.0,87.0,50.0,8.0,3.0,0.0
0.5145161290322581,0.8736842105263158,67.0,871.0,265.0,277.0,50.0,21.0,95.0,319.0,620.0,166.0,190.0,Bryan,Balonso Ball,428.l.2784.t.2,1,95.0,67.0,50.0,10.0,1.0,0.0
0.48741007194244607,0.8046875,75.0,720.0,263.0,140.0,58.0,40.0,70.0,271.0,556.0,103.0,128.0,Eli,The Block Party ,428.l.2784.t.6,1,70.0,75.0,58.0,4.0,7.0,0.0
0.5008576329331046,0.8092485549132948,67.0,791.0,287.0,172.0,40.0,31.0,91.0,292.0,583.0,140.0,173.0,Kai,Bryguy23,428.l.2784.t.3,2,91.0,67.0,40.0,5.0,6.0,0.0
0.48403361344537815,0.8152866242038217,107.0,811.0,218.0,195.0,36.0,24.0,77.0,288.0,595.0,128.0,157.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,2,77.0,107.0,36.0,5.0,6.0,0.0
0.5034843205574913,0.8344827586206897,106.0,805.0,234.0,202.0,48.0,17.0,74.0,289.0,574.0,121.0,145.0,Alan,Batmo Beal,428.l.2784.t.4,3,74.0,106.0,48.0,7.0,4.0,0.0
0.5522388059701493,0.7058823529411765,37.0,565.0,245.0,128.0,41.0,20.0,49.0,222.0,402.0,84.0,119.0,David,Dumpling Diddlers,428.l.2784.t.5,3,49.0,37.0,41.0,1.0,10.0,0.0
0.5,0.7248677248677249,88.0,777.0,203.0,127.0,40.0,12.0,88.0,276.0,552.0,137.0,189.0,Gary,Nazel Tov,428.l.2784.t.7,4,88.0,88.0,40.0,2.0,9.0,0.0
0.49206349206349204,0.785,114.0,953.0,273.0,228.0,53.0,55.0,96.0,341.0,693.0,157.0,200.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,4,96.0,114.0,53.0,11.0,0.0,0.0
0.44954128440366975,0.8571428571428571,94.0,820.0,313.0,208.0,46.0,20.0,79.0,294.0,654.0,138.0,161.0,Kayla,NotThanos,428.l.2784.t.9,5,79.0,94.0,46.0,9.0,2.0,0.0
0.4697508896797153,0.8301886792452831,85.0,745.0,264.0,172.0,37.0,34.0,93.0,264.0,562.0,132.0,159.0,Jack,Sengoon Squad,428.l.2784.t.10,5,93.0,85.0,37.0,3.0,8.0,0.0
