wins,losses,ties
88.0,20.0,2.0
81.0,23.0,6.0
62.0,47.0,1.0
56.0,50.0,4.0
55.0,52.0,3.0
51.0,57.0,2.0
50.0,56.0,4.0
49.0,58.0,3.0
49.0,60.0,1.0
46.0,61.0,3.0
45.0,62.0,3.0
12.0,98.0,0.0
