FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.444,0.807,68.0,559.0,189.0,124.0,29.0,33.0,77.0,212.0,477.0,67.0,83.0,Fabio,Bring Me A Shot ,0,1.0,8.0,2.0
0.471,0.727,62.0,588.0,296.0,151.0,30.0,24.0,78.0,223.0,473.0,80.0,110.0,Eli,Pro-Vax Anti-INJ,0,4.0,7.0,0.0
0.519,0.774,54.0,623.0,243.0,114.0,29.0,32.0,65.0,233.0,449.0,103.0,133.0,Kayla,NotThanos,1,5.0,5.0,1.0
0.438,0.838,67.0,620.0,250.0,170.0,37.0,32.0,89.0,230.0,525.0,93.0,111.0,michaellee0407,2018 Rockets,1,7.0,4.0,0.0
0.506,0.759,57.0,513.0,202.0,102.0,29.0,48.0,63.0,198.0,391.0,60.0,79.0,Yi Sheng,Davids Fantastic Team,2,1.0,9.0,1.0
0.462,0.799,94.0,735.0,241.0,173.0,34.0,17.0,84.0,259.0,561.0,123.0,154.0,Jack,He boomed me,2,10.0,1.0,0.0
0.448,0.78,52.0,523.0,162.0,115.0,39.0,25.0,47.0,186.0,415.0,99.0,127.0,Bryan,Balonso Ball,3,3.0,8.0,0.0
0.451,0.811,41.0,452.0,129.0,130.0,37.0,8.0,70.0,167.0,370.0,77.0,95.0,David,Yi Shengs Infirmary,3,1.0,10.0,0.0
0.444,0.774,87.0,639.0,260.0,141.0,37.0,20.0,71.0,228.0,513.0,96.0,124.0,Gary,Morning Wood,4,7.0,4.0,0.0
0.445,0.788,85.0,710.0,244.0,177.0,36.0,25.0,67.0,253.0,568.0,119.0,151.0,Alan,LeKimchi,4,11.0,0.0,0.0
0.535,0.753,68.0,626.0,230.0,113.0,36.0,29.0,75.0,244.0,456.0,70.0,93.0,Kai,The Baptist,5,5.0,6.0,0.0
0.46,0.796,69.0,670.0,193.0,187.0,34.0,21.0,56.0,244.0,530.0,113.0,142.0,Chi Yen,Sit down Yisheng,5,9.0,2.0,0.0
