FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.5050100200400801,0.8285714285714286,83.0,732.0,293.0,154.0,44.0,40.0,72.0,252.0,499.0,145.0,175.0,Fabio,iHart Radio ,428.l.2784.t.1,0,72.0,83.0,44.0,11.0,0.0,0.0
0.4794520547945205,0.7542857142857143,46.0,668.0,243.0,154.0,42.0,28.0,84.0,245.0,511.0,132.0,175.0,Jack,Sengoon Squad,428.l.2784.t.10,0,84.0,46.0,42.0,1.0,10.0,0.0
0.502262443438914,0.7904191616766467,58.0,634.0,204.0,175.0,39.0,23.0,69.0,222.0,442.0,132.0,167.0,Bryan,Balonso Ball,428.l.2784.t.2,1,69.0,58.0,39.0,4.0,7.0,0.0
0.5460750853242321,0.7752808988764045,22.0,411.0,247.0,106.0,34.0,21.0,59.0,160.0,293.0,69.0,89.0,David,Dumpling Diddlers,428.l.2784.t.5,1,59.0,22.0,34.0,1.0,10.0,0.0
0.48897795591182364,0.7189542483660131,50.0,648.0,260.0,160.0,37.0,32.0,76.0,244.0,499.0,110.0,153.0,Kai,Bryguy23,428.l.2784.t.3,2,76.0,50.0,37.0,5.0,6.0,0.0
0.45884413309982486,0.8306451612903226,71.0,698.0,183.0,196.0,41.0,24.0,81.0,262.0,571.0,103.0,124.0,Alan,Batmo Beal,428.l.2784.t.4,2,81.0,71.0,41.0,6.0,4.0,1.0
0.5211267605633803,0.7115384615384616,55.0,573.0,253.0,94.0,36.0,50.0,59.0,222.0,426.0,74.0,104.0,Eli,The Block Party ,428.l.2784.t.6,3,59.0,55.0,36.0,3.0,7.0,1.0
0.4656084656084656,0.7647058823529411,89.0,708.0,220.0,205.0,29.0,29.0,99.0,264.0,567.0,91.0,119.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,3,99.0,89.0,29.0,4.0,7.0,0.0
0.4773462783171521,0.7824074074074074,90.0,849.0,249.0,164.0,45.0,25.0,81.0,295.0,618.0,169.0,216.0,Gary,Nazel Tov,428.l.2784.t.7,4,81.0,90.0,45.0,9.0,2.0,0.0
0.4396946564885496,0.803680981595092,104.0,811.0,289.0,143.0,41.0,32.0,92.0,288.0,655.0,131.0,163.0,michaellee0407,Out Out Chu Chu Train ,428.l.2784.t.8,4,92.0,104.0,41.0,8.0,2.0,1.0
0.45054945054945056,0.803030303030303,77.0,675.0,205.0,173.0,43.0,19.0,74.0,246.0,546.0,106.0,132.0,Kayla,NotThanos,428.l.2784.t.9,5,74.0,77.0,43.0,5.0,6.0,0.0
0.4864864864864865,0.831858407079646,95.0,729.0,191.0,209.0,36.0,30.0,85.0,270.0,555.0,94.0,113.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,5,85.0,95.0,36.0,7.0,3.0,1.0
