wins,losses,ties
58.0,13.0,6.0
58.0,18.0,1.0
43.0,33.0,1.0
40.0,36.0,1.0
40.0,34.0,3.0
36.0,37.0,4.0
35.0,40.0,2.0
34.0,41.0,2.0
34.0,40.0,3.0
33.0,40.0,4.0
28.0,48.0,1.0
9.0,68.0,0.0
