FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.49800796812749004,0.7986111111111112,63.0,678.0,262.0,111.0,28.0,34.0,63.0,250.0,502.0,115.0,144.0,Fabio,SLOB Wizards ,428.l.2784.t.1,0,63.0,63.0,28.0,8.0,3.0,0.0
0.49348534201954397,0.7912087912087912,85.0,835.0,233.0,228.0,46.0,44.0,95.0,303.0,614.0,144.0,182.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,0,95.0,85.0,46.0,11.0,0.0,0.0
0.4943820224719101,0.8148148148148148,40.0,590.0,188.0,180.0,30.0,20.0,65.0,220.0,445.0,110.0,135.0,Bryan,Balonso Ball,428.l.2784.t.2,1,65.0,40.0,30.0,1.0,10.0,0.0
0.49544626593806923,0.782312925170068,81.0,740.0,242.0,147.0,41.0,25.0,76.0,272.0,549.0,115.0,147.0,Gary,Nazel Tov,428.l.2784.t.7,1,76.0,81.0,41.0,6.0,5.0,0.0
0.4927536231884058,0.7771084337349398,50.0,655.0,244.0,161.0,41.0,37.0,77.0,238.0,483.0,129.0,166.0,Kai,Bryguy23,428.l.2784.t.3,2,77.0,50.0,41.0,4.0,7.0,0.0
0.44878957169459965,0.8424242424242424,75.0,696.0,231.0,151.0,45.0,31.0,79.0,241.0,537.0,139.0,165.0,Kayla,NotThanos,428.l.2784.t.9,2,79.0,75.0,45.0,5.0,5.0,1.0
0.46153846153846156,0.7913043478260869,77.0,660.0,209.0,182.0,35.0,10.0,66.0,246.0,533.0,91.0,115.0,Alan,Beats By Dray,428.l.2784.t.4,3,66.0,77.0,35.0,4.0,7.0,0.0
0.5,0.7956204379562044,55.0,616.0,246.0,120.0,39.0,36.0,68.0,226.0,452.0,109.0,137.0,Eli,The Block Party ,428.l.2784.t.6,3,68.0,55.0,39.0,6.0,5.0,0.0
0.48265895953757226,0.6910569105691057,24.0,443.0,226.0,121.0,26.0,21.0,45.0,167.0,346.0,85.0,123.0,David,Dumpling Diddlers,428.l.2784.t.5,4,45.0,24.0,26.0,0.0,11.0,0.0
0.4613733905579399,0.8962962962962963,75.0,626.0,204.0,161.0,34.0,24.0,78.0,215.0,466.0,121.0,135.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,4,78.0,75.0,34.0,2.0,8.0,1.0
0.4708904109589041,0.8682634730538922,75.0,770.0,271.0,142.0,53.0,30.0,86.0,275.0,584.0,145.0,167.0,michaellee0407,I need a Herro ,428.l.2784.t.8,5,86.0,75.0,53.0,10.0,1.0,0.0
0.4639344262295082,0.7898550724637681,95.0,770.0,250.0,164.0,42.0,26.0,96.0,283.0,610.0,109.0,138.0,Jack,Sengoon Squad,428.l.2784.t.10,5,96.0,95.0,42.0,8.0,3.0,0.0
