FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.4658119658119658,0.7751937984496124,59.0,595.0,205.0,125.0,37.0,24.0,64.0,218.0,468.0,100.0,129.0,Fabio,Band of the Hawk ,0,64.0,59.0,37.0,5.0,5.0,1.0
0.4923954372623574,0.8526315789473684,56.0,736.0,161.0,110.0,36.0,24.0,63.0,259.0,526.0,162.0,190.0,Alan,China Klay,0,63.0,56.0,36.0,4.0,5.0,2.0
0.4642857142857143,0.8526315789473684,31.0,450.0,197.0,105.0,28.0,23.0,55.0,169.0,364.0,81.0,95.0,Bryan,Anthony Not Probable Davis,1,55.0,31.0,28.0,1.0,10.0,0.0
0.47834645669291337,0.8802395209580839,67.0,700.0,238.0,192.0,44.0,14.0,104.0,243.0,508.0,147.0,167.0,Yi Sheng,Sochandeeznutz,1,104.0,67.0,44.0,8.0,3.0,0.0
0.4567901234567901,0.7806451612903226,72.0,637.0,211.0,184.0,45.0,28.0,89.0,222.0,486.0,121.0,155.0,Jack,Sengoon Squad,2,89.0,72.0,45.0,7.0,4.0,0.0
0.5102420856610801,0.785,54.0,759.0,264.0,114.0,25.0,22.0,82.0,274.0,537.0,157.0,200.0,Kayla,NotThanos,2,82.0,54.0,25.0,6.0,4.0,1.0
0.49206349206349204,0.7641509433962265,79.0,656.0,211.0,140.0,48.0,21.0,63.0,248.0,504.0,81.0,106.0,michaellee0407,Fun Melo ,3,63.0,79.0,48.0,7.0,3.0,1.0
0.5110220440881763,0.8855421686746988,68.0,725.0,175.0,183.0,31.0,17.0,69.0,255.0,499.0,147.0,166.0,David,Dumpling Diddlers,3,69.0,68.0,31.0,9.0,2.0,0.0
0.46256239600665555,0.8341968911917098,63.0,780.0,267.0,169.0,37.0,26.0,85.0,278.0,601.0,161.0,193.0,Gary,Kuzma Nutz,4,85.0,63.0,37.0,9.0,2.0,0.0
0.5574229691876751,0.7663551401869159,30.0,510.0,249.0,114.0,30.0,38.0,60.0,199.0,357.0,82.0,107.0,Eli,Hart of a Champion ,4,60.0,30.0,30.0,5.0,5.0,1.0
0.50187265917603,0.7681159420289855,32.0,353.0,144.0,88.0,16.0,21.0,34.0,134.0,267.0,53.0,69.0,Chi Yen,Sit down Yisheng,5,34.0,32.0,16.0,0.0,11.0,0.0
0.49340369393139843,0.7681159420289855,53.0,480.0,202.0,121.0,23.0,27.0,66.0,187.0,379.0,53.0,69.0,Kai,Bryguy23,5,66.0,53.0,23.0,2.0,9.0,0.0
