FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.48408710217755446,0.8131313131313131,77.0,816.0,237.0,143.0,53.0,25.0,96.0,289.0,597.0,161.0,198.0,Fabio,Demon Time ,0,4.0,3.0,0.0
0.4628975265017668,0.7910447761194029,85.0,715.0,242.0,162.0,48.0,15.0,105.0,262.0,566.0,106.0,134.0,Gary,Playoff Mode Activated,0,3.0,4.0,0.0
0.49157733537519144,0.8253012048192772,64.0,843.0,294.0,211.0,41.0,40.0,81.0,321.0,653.0,137.0,166.0,Yi Sheng,Yi Shengs Yaks,1,7.0,0.0,0.0
0.46826758147512865,0.8698224852071006,86.0,779.0,247.0,172.0,44.0,23.0,70.0,273.0,583.0,147.0,169.0,Bryan,2018 Toronto Raptors,1,5.0,2.0,0.0
0.46296296296296297,0.8064516129032258,78.0,603.0,205.0,149.0,34.0,22.0,68.0,225.0,486.0,75.0,93.0,michaellee0407,Hospital Everyday ,2,1.0,6.0,0.0
0.4803738317757009,0.7876106194690266,78.0,681.0,269.0,144.0,34.0,21.0,76.0,257.0,535.0,89.0,113.0,Kai,The Baptist,2,0.0,7.0,0.0
0.5465393794749404,0.7054794520547946,46.0,607.0,293.0,118.0,46.0,40.0,64.0,229.0,419.0,103.0,146.0,Eli,Pro-Vax Anti-INJ,3,4.0,3.0,0.0
0.518450184501845,0.7941176470588235,56.0,726.0,253.0,168.0,43.0,39.0,69.0,281.0,542.0,108.0,136.0,Chi Yen,Sit down Yisheng,3,4.0,3.0,0.0
