FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.44375,0.7708333333333334,49.0,586.0,261.0,126.0,34.0,43.0,79.0,213.0,480.0,111.0,144.0,Fabio,New Taipei Kings ,428.l.2784.t.1,0,79.0,49.0,34.0,1.0,10.0,0.0
0.45348837209302323,0.7981651376146789,61.0,538.0,188.0,163.0,28.0,17.0,57.0,195.0,430.0,87.0,109.0,Gary,Nazel Tov,428.l.2784.t.7,0,57.0,61.0,28.0,2.0,9.0,0.0
0.5577777777777778,0.8068965517241379,49.0,668.0,209.0,193.0,37.0,18.0,59.0,251.0,450.0,117.0,145.0,Bryan,Balonso Ball,428.l.2784.t.2,1,59.0,49.0,37.0,7.0,3.0,1.0
0.49080882352941174,0.8161764705882353,88.0,733.0,187.0,177.0,49.0,31.0,71.0,267.0,544.0,111.0,136.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,1,71.0,88.0,49.0,11.0,0.0,0.0
0.4894117647058824,0.8456375838926175,57.0,597.0,224.0,127.0,30.0,32.0,59.0,208.0,425.0,126.0,149.0,Kai,Bryguy23,428.l.2784.t.3,2,59.0,57.0,30.0,5.0,5.0,1.0
0.46167557932263814,0.8407643312101911,85.0,735.0,173.0,181.0,39.0,24.0,72.0,259.0,561.0,132.0,157.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,2,72.0,85.0,39.0,8.0,3.0,0.0
0.4785276073619632,0.751937984496124,72.0,637.0,180.0,188.0,46.0,16.0,53.0,234.0,489.0,97.0,129.0,Alan,Beats By Dray,428.l.2784.t.4,3,53.0,72.0,46.0,7.0,4.0,0.0
0.46361746361746364,0.883495145631068,70.0,607.0,215.0,148.0,31.0,25.0,89.0,223.0,481.0,91.0,103.0,Kayla,NotThanos,428.l.2784.t.9,3,89.0,70.0,31.0,6.0,5.0,0.0
0.5272206303724928,0.7627118644067796,23.0,481.0,252.0,95.0,23.0,33.0,51.0,184.0,349.0,90.0,118.0,David,Dumpling Diddlers,428.l.2784.t.5,4,51.0,23.0,23.0,1.0,10.0,0.0
0.44834710743801653,0.875,58.0,611.0,226.0,114.0,35.0,23.0,77.0,217.0,484.0,119.0,136.0,michaellee0407,I need a Herro ,428.l.2784.t.8,4,77.0,58.0,35.0,4.0,7.0,0.0
0.4810379241516966,0.8251748251748252,52.0,652.0,249.0,118.0,37.0,43.0,56.0,241.0,501.0,118.0,143.0,Eli,The Block Party ,428.l.2784.t.6,5,56.0,52.0,37.0,9.0,2.0,0.0
0.47689075630252103,0.8347107438016529,66.0,621.0,193.0,139.0,37.0,23.0,72.0,227.0,476.0,101.0,121.0,Jack,Sengoon Squad,428.l.2784.t.10,5,72.0,66.0,37.0,4.0,7.0,0.0
