FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.45969125214408235,0.72,78.0,722.0,304.0,136.0,45.0,37.0,69.0,268.0,583.0,108.0,150.0,Fabio,iHart Radio ,428.l.2784.t.1,0,69.0,78.0,45.0,6.0,5.0,0.0
0.5039619651347068,0.7806451612903226,76.0,833.0,312.0,188.0,47.0,30.0,77.0,318.0,631.0,121.0,155.0,Kai,Bryguy23,428.l.2784.t.3,0,77.0,76.0,47.0,9.0,2.0,0.0
0.4740882917466411,0.8324873096446701,60.0,718.0,214.0,190.0,44.0,24.0,78.0,247.0,521.0,164.0,197.0,Bryan,Balonso Ball,428.l.2784.t.2,1,78.0,60.0,44.0,4.0,6.0,1.0
0.4927302100161551,0.823076923076923,98.0,815.0,283.0,198.0,39.0,46.0,72.0,305.0,619.0,107.0,130.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,1,72.0,98.0,39.0,11.0,0.0,0.0
0.44768439108061747,0.8188976377952756,70.0,696.0,247.0,211.0,54.0,21.0,86.0,261.0,583.0,104.0,127.0,Alan,Batmo Beal,428.l.2784.t.4,2,86.0,70.0,54.0,4.0,7.0,0.0
0.47804878048780486,0.8206896551724138,86.0,793.0,270.0,170.0,40.0,37.0,77.0,294.0,615.0,119.0,145.0,michaellee0407,Welcome to Wemby ,428.l.2784.t.8,2,77.0,86.0,40.0,8.0,3.0,0.0
0.49340369393139843,0.7471264367816092,27.0,466.0,272.0,132.0,33.0,20.0,55.0,187.0,379.0,65.0,87.0,David,Dumpling Diddlers,428.l.2784.t.5,3,55.0,27.0,33.0,0.0,11.0,0.0
0.4952681388012618,0.8061224489795918,94.0,880.0,236.0,191.0,36.0,16.0,86.0,314.0,634.0,158.0,196.0,Gary,Nazel Tov,428.l.2784.t.7,3,86.0,94.0,36.0,5.0,6.0,0.0
0.4857142857142857,0.776,50.0,623.0,296.0,131.0,39.0,47.0,56.0,238.0,490.0,97.0,125.0,Eli,The Block Party ,428.l.2784.t.6,4,56.0,50.0,39.0,3.0,8.0,0.0
0.4807017543859649,0.7894736842105263,61.0,714.0,244.0,169.0,33.0,34.0,80.0,274.0,570.0,105.0,133.0,Kayla,NotThanos,428.l.2784.t.9,4,80.0,61.0,33.0,1.0,10.0,0.0
0.5037174721189591,0.7619047619047619,64.0,718.0,257.0,185.0,38.0,38.0,81.0,271.0,538.0,112.0,147.0,Jack,Sengoon Squad,428.l.2784.t.10,5,81.0,64.0,38.0,4.0,6.0,1.0
0.5101351351351351,0.8258064516129032,81.0,813.0,221.0,206.0,43.0,33.0,87.0,302.0,592.0,128.0,155.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,5,87.0,81.0,43.0,10.0,1.0,0.0
