FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses
0.447,0.773,69.0,664.0,242.0,155.0,43.0,29.0,102.0,255.0,570.0,85.0,110.0,Fabio,Bring Me A Shot ,0,6.0,5.0
0.431,0.849,75.0,626.0,226.0,158.0,41.0,26.0,80.0,222.0,515.0,107.0,126.0,Bryan,Balonso Ball,0,5.0,6.0
0.519,0.771,73.0,760.0,339.0,141.0,50.0,45.0,72.0,276.0,532.0,135.0,175.0,Kayla,NotThanos,1,11.0,0.0
0.439,0.768,77.0,718.0,275.0,136.0,58.0,42.0,78.0,261.0,594.0,119.0,155.0,Yi Sheng,Big Face Coffee Co,1,10.0,1.0
0.431,0.776,62.0,673.0,229.0,210.0,57.0,26.0,88.0,264.0,612.0,83.0,107.0,David,Yi Shengs Yaks,2,6.0,5.0
0.436,0.706,79.0,660.0,330.0,136.0,37.0,30.0,93.0,246.0,564.0,89.0,126.0,Alan,LeKimchi,2,6.0,5.0
0.455,0.758,74.0,719.0,225.0,163.0,62.0,24.0,101.0,266.0,585.0,113.0,149.0,Jack,He boomed me,3,5.0,6.0
0.471,0.915,83.0,590.0,245.0,115.0,32.0,18.0,78.0,216.0,459.0,75.0,82.0,Kai,The Baptist,3,6.0,5.0
0.436,0.72,75.0,591.0,235.0,142.0,35.0,22.0,97.0,222.0,509.0,72.0,100.0,michaellee0407,Curry Everyday ,4,1.0,10.0
0.434,0.686,93.0,697.0,255.0,142.0,42.0,28.0,93.0,267.0,615.0,70.0,102.0,Gary,Morning Wood,4,6.0,5.0
0.486,0.794,35.0,490.0,249.0,113.0,35.0,26.0,59.0,185.0,381.0,85.0,107.0,Eli,Got Vaxxed Got Wrecked Anyway,5,4.0,7.0
0.47,0.792,54.0,579.0,191.0,143.0,33.0,19.0,61.0,211.0,449.0,103.0,130.0,Chi Yen,Get Vaxxed or Get Wrecked ,5,0.0,11.0
