wins,losses,ties
74.0,35.0,1.0
59.0,48.0,3.0
59.0,49.0,2.0
58.0,50.0,2.0
57.0,50.0,3.0
54.0,55.0,1.0
54.0,54.0,2.0
54.0,55.0,1.0
51.0,57.0,2.0
50.0,56.0,4.0
49.0,61.0,0.0
30.0,79.0,1.0
