FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.44327176781002636,0.7066666666666667,41.0,430.0,179.0,111.0,34.0,24.0,50.0,168.0,379.0,53.0,75.0,Fabio,Bring Me A Shot ,0,4.0,7.0,0.0
0.45478723404255317,0.7959183673469388,47.0,506.0,227.0,96.0,28.0,28.0,41.0,171.0,376.0,117.0,147.0,Alan,LeKimchi,0,9.0,2.0,0.0
0.4981132075471698,0.7083333333333334,29.0,327.0,167.0,56.0,16.0,28.0,34.0,132.0,265.0,34.0,48.0,Kayla,NotThanos,1,0.0,11.0,0.0
0.45864661654135336,0.775,65.0,493.0,202.0,118.0,34.0,26.0,55.0,183.0,399.0,62.0,80.0,Kai,The Baptist,1,9.0,2.0,0.0
0.41194029850746267,0.8936170212765957,42.0,402.0,137.0,92.0,32.0,13.0,61.0,138.0,335.0,84.0,94.0,Yi Sheng,Davids Fantastic Team,2,3.0,8.0,0.0
0.41333333333333333,0.7448979591836735,53.0,498.0,231.0,122.0,33.0,23.0,67.0,186.0,450.0,73.0,98.0,Gary,TO God,2,7.0,4.0,0.0
0.43243243243243246,0.8342541436464088,66.0,665.0,186.0,134.0,32.0,24.0,68.0,224.0,518.0,151.0,181.0,Bryan,Balonso Ball,3,9.0,2.0,0.0
0.4166666666666667,0.8333333333333334,30.0,365.0,194.0,115.0,36.0,22.0,49.0,135.0,324.0,65.0,78.0,Eli,Pro-Vax Anti-INJ,3,5.0,6.0,0.0
0.43902439024390244,0.7333333333333333,43.0,339.0,102.0,83.0,23.0,8.0,29.0,126.0,287.0,44.0,60.0,David,Yi Shengs Infirmary,4,1.0,10.0,0.0
0.4623217922606925,0.7847222222222222,80.0,647.0,197.0,159.0,38.0,14.0,79.0,227.0,491.0,113.0,144.0,michaellee0407,Curry Everyday Part II,4,11.0,0.0,0.0
0.46757679180887374,0.7536231884057971,50.0,376.0,144.0,95.0,39.0,15.0,69.0,137.0,293.0,52.0,69.0,Jack,He boomed me,5,3.0,8.0,0.0
0.4690265486725664,0.84,38.0,440.0,136.0,124.0,24.0,10.0,39.0,159.0,339.0,84.0,100.0,Chi Yen,Sit down Yisheng,5,5.0,6.0,0.0
