FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.49217002237136465,0.7589285714285714,60.0,585.0,226.0,168.0,43.0,19.0,80.0,220.0,447.0,85.0,112.0,Bryan,Anthony Not Probable Davis,0,80.0,60.0,43.0,3.0,4.0,0.0
0.4965034965034965,0.7777777777777778,44.0,568.0,317.0,148.0,46.0,33.0,68.0,213.0,429.0,98.0,126.0,Eli,Hart of a Champion ,0,68.0,44.0,46.0,5.0,2.0,0.0
0.5199063231850117,0.7475728155339806,70.0,591.0,246.0,166.0,51.0,28.0,74.0,222.0,427.0,77.0,103.0,Jack,Sengoon Squad,1,74.0,70.0,51.0,6.0,1.0,0.0
0.46387832699619774,0.8333333333333334,82.0,670.0,214.0,148.0,29.0,23.0,86.0,244.0,526.0,100.0,120.0,Kai,Bryguy23,1,86.0,82.0,29.0,0.0,7.0,0.0
0.47160493827160493,0.697841726618705,54.0,533.0,224.0,99.0,38.0,36.0,48.0,191.0,405.0,97.0,139.0,michaellee0407,NBAs finest Ja Morant ,2,48.0,54.0,38.0,1.0,6.0,0.0
0.46554149085794655,0.7974137931034483,82.0,929.0,268.0,201.0,33.0,19.0,111.0,331.0,711.0,185.0,232.0,Gary,Kuzma Nutz,2,111.0,82.0,33.0,4.0,3.0,0.0
0.48973143759873616,0.8362573099415205,94.0,857.0,168.0,169.0,47.0,15.0,83.0,310.0,633.0,143.0,171.0,David,Dumpling Diddlers,3,83.0,94.0,47.0,6.0,1.0,0.0
0.4870259481037924,0.8513513513513513,54.0,668.0,228.0,226.0,39.0,18.0,96.0,244.0,501.0,126.0,148.0,Yi Sheng,Sochandeeznutz,3,96.0,54.0,39.0,3.0,4.0,0.0
