wins,losses,ties
142.0,83.0,6.0
133.0,95.0,3.0
129.0,95.0,7.0
125.0,98.0,8.0
122.0,103.0,6.0
120.0,109.0,2.0
119.0,108.0,4.0
115.0,112.0,4.0
104.0,118.0,9.0
89.0,141.0,1.0
89.0,138.0,4.0
71.0,158.0,2.0
