FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.47758620689655173,0.8352272727272727,89.0,790.0,236.0,164.0,41.0,24.0,92.0,277.0,580.0,147.0,176.0,Fabio,Bring Me A Shot ,0,9.0,2.0,0.0
0.48677248677248675,0.7929292929292929,79.0,788.0,280.0,127.0,33.0,32.0,78.0,276.0,567.0,157.0,198.0,Alan,China Klay,0,9.0,2.0,0.0
0.4782608695652174,0.7745098039215687,45.0,410.0,163.0,108.0,29.0,12.0,52.0,143.0,299.0,79.0,102.0,Kayla,NotThanos,1,0.0,11.0,0.0
0.45751633986928103,0.7840909090909091,56.0,545.0,207.0,114.0,39.0,14.0,58.0,210.0,459.0,69.0,88.0,Kai,The Baptist,1,3.0,8.0,0.0
0.49385749385749383,0.8285714285714286,59.0,577.0,191.0,130.0,28.0,19.0,64.0,201.0,407.0,116.0,140.0,Yi Sheng,Davids Fantastic Team,2,5.0,6.0,0.0
0.4561128526645768,0.7158469945355191,83.0,796.0,308.0,171.0,49.0,22.0,107.0,291.0,638.0,131.0,183.0,Gary,TO God,2,10.0,1.0,0.0
0.4734133790737564,0.7902439024390244,78.0,792.0,249.0,165.0,44.0,33.0,81.0,276.0,583.0,162.0,205.0,Bryan,Balonso Ball,3,8.0,3.0,0.0
0.48358862144420134,0.8090909090909091,52.0,583.0,278.0,120.0,48.0,47.0,62.0,221.0,457.0,89.0,110.0,Eli,Pro-Vax Anti-INJ,3,9.0,2.0,0.0
0.4529262086513995,0.7558139534883721,59.0,480.0,158.0,96.0,33.0,15.0,39.0,178.0,393.0,65.0,86.0,David,Yi Shengs OKC Thunder,4,2.0,9.0,0.0
0.4714285714285714,0.7936507936507936,72.0,634.0,229.0,116.0,30.0,16.0,72.0,231.0,490.0,100.0,126.0,michaellee0407,Curry Everyday ,4,5.0,6.0,0.0
0.4386422976501306,0.8235294117647058,61.0,495.0,152.0,131.0,30.0,14.0,58.0,168.0,383.0,98.0,119.0,Jack,He boomed me,5,1.0,10.0,0.0
0.5055928411633109,0.7952755905511811,62.0,615.0,194.0,162.0,21.0,13.0,67.0,226.0,447.0,101.0,127.0,Chi Yen,Sit down Yisheng,5,5.0,6.0,0.0
