wins,losses,ties
122.0,61.0,4.0
106.0,76.0,5.0
101.0,80.0,6.0
98.0,86.0,3.0
96.0,87.0,4.0
93.0,91.0,3.0
92.0,92.0,3.0
92.0,94.0,1.0
86.0,100.0,1.0
80.0,101.0,6.0
70.0,114.0,3.0
66.0,120.0,1.0
