FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.491869918699187,0.8148148148148148,59.0,653.0,290.0,138.0,45.0,28.0,86.0,242.0,492.0,110.0,135.0,Fabio,SLOB Wizards ,428.l.2784.t.1,0,86.0,59.0,45.0,6.0,5.0,0.0
0.48473967684021546,0.8303030303030303,66.0,743.0,271.0,161.0,46.0,25.0,86.0,270.0,557.0,137.0,165.0,Kai,Bryguy23,428.l.2784.t.3,0,86.0,66.0,46.0,9.0,1.0,1.0
0.47401247401247404,0.6923076923076923,73.0,637.0,201.0,201.0,40.0,23.0,93.0,228.0,481.0,108.0,156.0,Bryan,Balonso Ball,428.l.2784.t.2,1,93.0,73.0,40.0,5.0,6.0,0.0
0.5031645569620253,0.8546511627906976,107.0,890.0,246.0,196.0,27.0,43.0,96.0,318.0,632.0,147.0,172.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,1,96.0,107.0,27.0,11.0,0.0,0.0
0.46973365617433416,0.8387096774193549,53.0,545.0,171.0,133.0,41.0,9.0,57.0,194.0,413.0,104.0,124.0,Alan,Beats By Dray,428.l.2784.t.4,2,57.0,53.0,41.0,3.0,8.0,0.0
0.48811700182815354,0.7794117647058824,76.0,716.0,249.0,146.0,33.0,33.0,70.0,267.0,547.0,106.0,136.0,michaellee0407,I need a Herro ,428.l.2784.t.8,2,70.0,76.0,33.0,8.0,2.0,1.0
0.5398773006134969,0.7093023255813954,26.0,439.0,184.0,101.0,32.0,32.0,48.0,176.0,326.0,61.0,86.0,David,Dumpling Diddlers,428.l.2784.t.5,3,48.0,26.0,32.0,0.0,11.0,0.0
0.46904315196998125,0.7642857142857142,93.0,700.0,233.0,128.0,35.0,21.0,61.0,250.0,533.0,107.0,140.0,Gary,Nazel Tov,428.l.2784.t.7,3,61.0,93.0,35.0,4.0,7.0,0.0
0.47229551451187335,0.8303571428571429,38.0,489.0,249.0,99.0,39.0,41.0,62.0,179.0,379.0,93.0,112.0,Eli,The Block Party ,428.l.2784.t.6,4,62.0,38.0,39.0,4.0,6.0,1.0
0.4685185185185185,0.8931297709923665,86.0,709.0,198.0,142.0,31.0,10.0,65.0,253.0,540.0,117.0,131.0,Kayla,NotThanos,428.l.2784.t.9,4,65.0,86.0,31.0,4.0,7.0,0.0
0.4932821497120921,0.8041958041958042,71.0,700.0,232.0,209.0,49.0,25.0,103.0,257.0,521.0,115.0,143.0,Jack,Sengoon Squad,428.l.2784.t.10,5,103.0,71.0,49.0,8.0,2.0,1.0
0.4670781893004115,0.8089887640449438,80.0,606.0,201.0,162.0,43.0,15.0,93.0,227.0,486.0,72.0,89.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,5,93.0,80.0,43.0,2.0,9.0,0.0
