FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.431,0.805,66.0,623.0,268.0,142.0,42.0,26.0,83.0,233.0,541.0,91.0,113.0,Fabio,Bring Me A Shot ,0,4.0,6.0,1.0
0.453,0.8,99.0,757.0,228.0,175.0,45.0,25.0,98.0,287.0,633.0,84.0,105.0,Jack,He boomed me,0,9.0,2.0,0.0
0.467,0.761,69.0,616.0,273.0,159.0,43.0,40.0,83.0,221.0,473.0,105.0,138.0,Kayla,NotThanos,1,8.0,3.0,0.0
0.46,0.839,84.0,671.0,186.0,162.0,49.0,21.0,78.0,236.0,513.0,115.0,137.0,David,Yi Shengs Yaks,1,8.0,3.0,0.0
0.485,0.801,67.0,752.0,324.0,163.0,57.0,40.0,78.0,284.0,586.0,117.0,146.0,Yi Sheng,Davids Fantastic Team,2,11.0,0.0,0.0
0.407,0.823,58.0,612.0,211.0,111.0,45.0,31.0,82.0,205.0,504.0,144.0,175.0,Bryan,Balonso Ball,2,0.0,11.0,0.0
0.445,0.804,80.0,586.0,242.0,179.0,40.0,19.0,78.0,210.0,472.0,86.0,107.0,michaellee0407,Curry Everyday ,3,2.0,9.0,0.0
0.458,0.723,77.0,599.0,216.0,173.0,34.0,20.0,77.0,227.0,496.0,68.0,94.0,Alan,LeKimchi,3,1.0,10.0,0.0
0.509,0.743,63.0,608.0,265.0,119.0,31.0,35.0,76.0,232.0,456.0,81.0,109.0,Eli,Anti-Vax Pro-INJ,4,3.0,7.0,1.0
0.477,0.744,67.0,644.0,257.0,124.0,42.0,24.0,73.0,245.0,514.0,87.0,117.0,Kai,The Baptist,4,5.0,5.0,1.0
0.438,0.685,93.0,645.0,284.0,122.0,27.0,24.0,76.0,239.0,546.0,74.0,108.0,Gary,Morning Wood,5,4.0,6.0,1.0
0.463,0.859,68.0,810.0,226.0,184.0,38.0,27.0,90.0,292.0,630.0,158.0,184.0,Chi Yen,Sit down Yisheng,5,9.0,2.0,0.0
