wins,losses,ties
60.0,27.0,1.0
51.0,36.0,1.0
46.0,41.0,1.0
45.0,42.0,1.0
45.0,42.0,1.0
44.0,43.0,1.0
44.0,41.0,3.0
41.0,44.0,3.0
41.0,46.0,1.0
39.0,47.0,2.0
36.0,52.0,0.0
28.0,59.0,1.0
