wins,losses,ties
51.0,10.0,5.0
47.0,18.0,1.0
36.0,28.0,2.0
34.0,30.0,2.0
33.0,32.0,1.0
33.0,32.0,1.0
32.0,32.0,2.0
31.0,31.0,4.0
29.0,34.0,3.0
27.0,35.0,4.0
22.0,43.0,1.0
8.0,58.0,0.0
