FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.46881720430107526,0.8309859154929577,52.0,606.0,211.0,122.0,32.0,17.0,69.0,218.0,465.0,118.0,142.0,Fabio,Wen Trade Deadline,0,69.0,52.0,32.0,2.0,9.0,0.0
0.5225505443234837,0.7411167512690355,77.0,895.0,272.0,164.0,48.0,29.0,90.0,336.0,643.0,146.0,197.0,michaellee0407,Melo Melo ,0,90.0,77.0,48.0,7.0,4.0,0.0
0.4908616187989556,0.8695652173913043,56.0,532.0,187.0,158.0,30.0,22.0,63.0,188.0,383.0,100.0,115.0,Bryan,Anthony Not Probable Davis,1,63.0,56.0,30.0,3.0,8.0,0.0
0.5831533477321814,0.6549295774647887,49.0,682.0,318.0,203.0,64.0,43.0,81.0,270.0,463.0,93.0,142.0,Eli,Taking Grant Proposals ,1,81.0,49.0,64.0,11.0,0.0,0.0
0.4722222222222222,0.7832167832167832,73.0,661.0,189.0,95.0,24.0,14.0,67.0,238.0,504.0,112.0,143.0,Alan,China Klay,2,67.0,73.0,24.0,1.0,10.0,0.0
0.4803312629399586,0.8701298701298701,68.0,666.0,219.0,187.0,44.0,32.0,84.0,232.0,483.0,134.0,154.0,Yi Sheng,Sochandeeznutz,2,84.0,68.0,44.0,6.0,5.0,0.0
0.5038167938931297,0.7770700636942676,85.0,735.0,238.0,150.0,49.0,39.0,65.0,264.0,524.0,122.0,157.0,Jack,Sengoon Squad,3,65.0,85.0,49.0,8.0,3.0,0.0
0.4479166666666667,0.8888888888888888,32.0,244.0,83.0,44.0,21.0,14.0,44.0,86.0,192.0,40.0,45.0,Chi Yen,Sit down Yisheng,3,44.0,32.0,21.0,0.0,11.0,0.0
0.4831649831649832,0.777027027027027,82.0,771.0,276.0,165.0,26.0,33.0,83.0,287.0,594.0,115.0,148.0,Kayla,NotThanos,4,83.0,82.0,26.0,7.0,4.0,0.0
0.46557971014492755,0.8388625592417062,59.0,750.0,193.0,181.0,34.0,30.0,84.0,257.0,552.0,177.0,211.0,David,Dumpling Diddlers,4,84.0,59.0,34.0,5.0,6.0,0.0
0.43709677419354837,0.7939698492462312,95.0,795.0,262.0,173.0,41.0,17.0,115.0,271.0,620.0,158.0,199.0,Gary,Kuzma Nutz,5,115.0,95.0,41.0,6.0,5.0,0.0
0.48217317487266553,0.8,89.0,769.0,285.0,179.0,43.0,26.0,83.0,284.0,589.0,112.0,140.0,Kai,Bryguy23,5,83.0,89.0,43.0,10.0,1.0,0.0
