FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.4636542239685658,0.75,67.0,617.0,194.0,136.0,34.0,17.0,78.0,236.0,509.0,78.0,104.0,Fabio,Bring Me A Shot ,0,0.0,11.0,0.0
0.4340909090909091,0.7368421052631579,69.0,521.0,213.0,129.0,41.0,21.0,60.0,191.0,440.0,70.0,95.0,Jack,He boomed me,0,1.0,10.0,0.0
0.49676025917926564,0.7785714285714286,61.0,630.0,260.0,146.0,19.0,27.0,65.0,230.0,463.0,109.0,140.0,Kayla,NotThanos,1,7.0,4.0,0.0
0.4542314335060449,0.7785714285714286,75.0,710.0,298.0,209.0,55.0,25.0,90.0,263.0,579.0,109.0,140.0,David,Yi Shengs Playoff Hopefuls,1,8.0,3.0,0.0
0.4334677419354839,0.8596491228070176,47.0,575.0,257.0,163.0,46.0,28.0,74.0,215.0,496.0,98.0,114.0,Yi Sheng,Davids Fantastic Team,2,6.0,5.0,0.0
0.4542056074766355,0.7291666666666666,85.0,676.0,238.0,137.0,35.0,20.0,76.0,243.0,535.0,105.0,144.0,Bryan,Balonso Ball,2,3.0,8.0,0.0
0.45454545454545453,0.8085106382978723,89.0,783.0,234.0,169.0,45.0,26.0,82.0,290.0,638.0,114.0,141.0,michaellee0407,Curry Everyday ,3,7.0,4.0,0.0
0.4506517690875233,0.7520661157024794,80.0,655.0,286.0,142.0,42.0,26.0,82.0,242.0,537.0,91.0,121.0,Alan,China Klay,3,4.0,7.0,0.0
0.5080459770114942,0.7777777777777778,56.0,582.0,284.0,144.0,47.0,41.0,76.0,221.0,435.0,84.0,108.0,Eli,Pro-Vax Anti-INJ,4,7.0,4.0,0.0
0.4882882882882883,0.8080808080808081,80.0,702.0,280.0,179.0,49.0,28.0,83.0,271.0,555.0,80.0,99.0,Kai,The Baptist,4,10.0,1.0,0.0
0.44402985074626866,0.7862595419847328,70.0,649.0,233.0,135.0,34.0,17.0,73.0,238.0,536.0,103.0,131.0,Gary,TO God,5,2.0,9.0,0.0
0.507563025210084,0.8314606741573034,47.0,799.0,245.0,198.0,47.0,43.0,75.0,302.0,595.0,148.0,178.0,Chi Yen,Sit down Yisheng,5,11.0,0.0,0.0
