wins,losses,ties
121.0,52.0,3.0
100.0,71.0,5.0
94.0,76.0,6.0
91.0,82.0,3.0
91.0,85.0,0.0
89.0,83.0,4.0
88.0,85.0,3.0
86.0,88.0,2.0
82.0,93.0,1.0
73.0,98.0,5.0
68.0,105.0,3.0
55.0,120.0,1.0
