wins,losses,ties
109.0,21.0,2.0
93.0,33.0,6.0
77.0,53.0,2.0
67.0,60.0,5.0
65.0,62.0,5.0
65.0,66.0,1.0
59.0,70.0,3.0
59.0,70.0,3.0
57.0,72.0,3.0
56.0,71.0,5.0
53.0,74.0,5.0
12.0,120.0,0.0
