FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.445,0.775,79.0,697.0,247.0,155.0,46.0,18.0,82.0,266.0,598.0,86.0,111.0,Fabio,Bring Me A Shot ,0,7.0,4.0,0.0
0.48,0.762,71.0,682.0,230.0,154.0,52.0,20.0,78.0,259.0,540.0,93.0,122.0,David,Yi Shengs Yaks,0,7.0,4.0,0.0
0.493,0.698,68.0,594.0,228.0,102.0,39.0,36.0,65.0,218.0,442.0,90.0,129.0,Kayla,NotThanos,1,3.0,8.0,0.0
0.463,0.833,48.0,500.0,193.0,113.0,40.0,30.0,77.0,181.0,391.0,90.0,108.0,Bryan,Balonso Ball,1,1.0,10.0,0.0
0.438,0.845,66.0,583.0,236.0,118.0,35.0,31.0,68.0,212.0,484.0,93.0,110.0,Yi Sheng,Davids Fantastic Team,2,3.0,8.0,0.0
0.49,0.822,86.0,858.0,261.0,216.0,43.0,31.0,86.0,319.0,651.0,134.0,163.0,Chi Yen,Sit down Yisheng,2,10.0,1.0,0.0
0.434,0.832,72.0,626.0,187.0,146.0,43.0,18.0,85.0,225.0,519.0,104.0,125.0,Jack,He boomed me,3,1.0,9.0,1.0
0.434,0.776,68.0,630.0,237.0,142.0,50.0,19.0,89.0,229.0,528.0,104.0,134.0,Alan,LeKimchi,3,3.0,7.0,1.0
0.447,0.832,86.0,720.0,261.0,165.0,49.0,30.0,100.0,260.0,582.0,114.0,137.0,michaellee0407,Curry Everyday ,4,9.0,2.0,0.0
0.43,0.835,86.0,737.0,340.0,142.0,47.0,37.0,73.0,275.0,640.0,101.0,121.0,Kai,The Baptist,4,11.0,0.0,0.0
0.478,0.716,52.0,573.0,285.0,160.0,53.0,17.0,64.0,224.0,469.0,73.0,102.0,Eli,Anti-Vax Pro-INJ,5,7.0,4.0,0.0
0.466,0.667,76.0,598.0,245.0,114.0,27.0,23.0,77.0,228.0,489.0,66.0,99.0,Gary,Morning Wood,5,3.0,8.0,0.0
