wins,losses,ties
128.0,66.0,4.0
108.0,84.0,6.0
107.0,84.0,7.0
105.0,89.0,4.0
103.0,92.0,3.0
101.0,93.0,4.0
100.0,94.0,4.0
100.0,97.0,1.0
87.0,110.0,1.0
86.0,105.0,7.0
73.0,122.0,3.0
67.0,129.0,2.0
