FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.44693877551020406,0.7244094488188977,46.0,576.0,222.0,145.0,44.0,23.0,69.0,219.0,490.0,92.0,127.0,Fabio,Band of the Hawk ,0,69.0,46.0,44.0,1.0,10.0,0.0
0.4559748427672956,0.7606837606837606,64.0,822.0,291.0,164.0,45.0,23.0,97.0,290.0,636.0,178.0,234.0,Gary,Kuzma Nutz,0,97.0,64.0,45.0,6.0,5.0,0.0
0.47739602169981915,0.7701863354037267,63.0,715.0,285.0,166.0,44.0,18.0,91.0,264.0,553.0,124.0,161.0,Bryan,Anthony Not Probable Davis,1,91.0,63.0,44.0,4.0,7.0,0.0
0.49238578680203043,0.7526881720430108,79.0,801.0,348.0,134.0,34.0,27.0,86.0,291.0,591.0,140.0,186.0,Kayla,NotThanos,1,86.0,79.0,34.0,9.0,2.0,0.0
0.4905263157894737,0.8452380952380952,62.0,670.0,185.0,97.0,31.0,15.0,68.0,233.0,475.0,142.0,168.0,Alan,China Klay,2,68.0,62.0,31.0,2.0,9.0,0.0
0.47128378378378377,0.75,64.0,745.0,306.0,168.0,51.0,36.0,79.0,279.0,592.0,123.0,164.0,michaellee0407,Fun Melo ,2,79.0,64.0,51.0,7.0,3.0,1.0
0.47392290249433106,0.8333333333333334,75.0,588.0,201.0,168.0,34.0,21.0,69.0,209.0,441.0,95.0,114.0,Jack,Sengoon Squad,3,69.0,75.0,34.0,6.0,3.0,2.0
0.534521158129176,0.7466666666666667,40.0,632.0,312.0,166.0,46.0,36.0,76.0,240.0,449.0,112.0,150.0,Eli,Taking Grant Proposals ,3,76.0,40.0,46.0,10.0,1.0,0.0
0.4883720930232558,0.7818181818181819,29.0,282.0,101.0,51.0,19.0,24.0,42.0,105.0,215.0,43.0,55.0,Chi Yen,Sit down Yisheng,4,42.0,29.0,19.0,0.0,11.0,0.0
0.44712430426716143,0.8535031847133758,77.0,693.0,226.0,156.0,34.0,15.0,71.0,241.0,539.0,134.0,157.0,Yi Sheng,Sochandeeznutz,4,71.0,77.0,34.0,4.0,6.0,1.0
0.5095785440613027,0.7935483870967742,92.0,747.0,248.0,196.0,24.0,17.0,78.0,266.0,522.0,123.0,155.0,Kai,Bryguy23,5,78.0,92.0,24.0,9.0,2.0,0.0
0.4814159292035398,0.8333333333333334,69.0,763.0,184.0,151.0,38.0,19.0,75.0,272.0,565.0,150.0,180.0,David,Dumpling Diddlers,5,75.0,69.0,38.0,6.0,5.0,0.0
